timestamp,cpu_usage,memory_usage,disk_usage,network_sent,network_recv
1745387860.3162408,0.0,70.5,74.4,29.769282341003414,341.1366443634033
1745387862.328564,4.1,70.5,74.4,29.76938533782959,341.13955783843994
1745387864.342047,3.3,70.5,74.4,29.76968002319336,341.1428346633911
1745387866.3553262,2.1,70.4,74.4,29.770926475524902,341.14441204071045
1745387868.3693964,2.7,70.7,74.4,29.770926475524902,341.1448793411255
1745387870.3895895,1.9,70.6,74.4,29.784056663513184,341.1491394042969
1745387872.4040627,1.2,70.6,74.4,29.78547191619873,341.15027809143066
1745387874.419641,4.5,70.9,74.4,29.79312038421631,341.1580867767334
1745387876.4411335,1.0,70.8,74.4,29.79385471343994,341.15897369384766
1745387878.4689066,2.0,70.8,74.4,29.801308631896973,341.1653928756714
1745387880.489992,2.2,70.8,74.4,29.80185031890869,341.1662321090698
1745387882.5183182,2.3,70.8,74.4,30.226523399353027,341.1783456802368
1745387884.5497143,2.3,70.8,74.4,30.2273063659668,341.1857271194458
1745387886.5847,2.7,70.7,74.4,30.23011016845703,341.18860816955566
1745387888.6116896,1.3,70.7,74.4,30.239866256713867,341.1954126358032
1745387890.634515,4.8,70.8,74.4,30.252158164978027,341.2039976119995
1745387892.659335,6.3,70.7,74.4,30.4675931930542,341.2179946899414
1745387894.7198577,3.9,70.7,74.4,30.467963218688965,341.22197818756104
1745387896.7452502,1.8,70.6,74.4,30.46801471710205,341.222264289856
1745387898.7736728,1.9,70.5,74.4,30.47408103942871,341.22540760040283
1745387900.8001328,1.2,70.3,74.4,30.474343299865723,341.2262239456177
1745387902.8321917,1.4,70.3,74.4,30.47646427154541,341.2268342971802
1745387904.8758726,2.2,70.5,74.4,30.478562355041504,341.2275619506836
1745387906.9070692,3.4,70.5,74.4,30.478836059570312,341.22858810424805
1745387908.9381073,3.8,70.6,74.4,30.478888511657715,341.2291326522827
1745387910.9682205,2.0,70.6,74.4,30.481907844543457,341.2301912307739
1745387912.9824846,3.0,70.5,74.4,30.49830150604248,341.2393989562988
1745387915.0030372,5.2,70.6,74.4,30.50549030303955,341.3695106506348
1745387917.0173416,2.2,70.5,74.4,30.507457733154297,341.3782615661621
1745387919.046174,2.5,70.6,74.4,30.510372161865234,341.38062477111816
1745387920.057256,3.325120400454712,70.50984482983606,74.40000000000002,29.543356051529386,341.17636223083866
1745387922.5873466,2.4492913342357476,70.56673653481738,74.40000000000002,29.84328126846981,341.2751140578915
1745387927.2435436,3.533360150709132,70.52221682314203,74.4,29.994917235631178,341.1945666020886
1745387932.0345633,4.740722958669455,70.63017502409978,74.40000000000003,30.23363522201733,341.2137744436468
1745387933.2488005,2.3170310391082287,70.79593492045409,74.39999999999999,30.517004391988166,341.25547013256806
1745387934.74249,2.3170536842290406,70.49572888426331,74.4,30.410063275441445,341.20382764167914
1745387935.7619715,4.818216404756178,70.76598509454753,74.39999999999999,29.80299064817857,341.08682795766595
1745387940.2366662,3.6985266914031425,70.49410753929554,74.40000000000005,30.064687866202448,341.27696894955875
1745387941.5202112,1.9924515511686844,70.48404762512763,74.40000000000002,30.20988539439137,341.2912267749191
1745387942.9518118,3.388355874457912,70.73819079827254,74.40000000000005,30.100171701102234,341.0859453646686
1745387944.8623023,2.000805579320199,70.753953166904,74.40000000000003,30.097874886305753,341.1383508894516
1745387949.5313005,1.9976165419580605,70.74319600766094,74.40000000000002,29.626902350706523,341.3423768087327
1745387953.2842367,2.973739812697675,70.41263921064751,74.4,29.811607030556626,341.223184617634
1745387956.7517622,0.0010026622849279576,70.54226340860576,74.4,30.054568938784332,341.207986071651
1745387960.8903897,0.26081191164271456,70.73886099619459,74.40000000000003,29.182813877200225,341.1793871368538
1745387964.6635277,1.864433902539608,70.61966956959176,74.40000000000002,30.392729952353317,341.13918827074355
1745387968.647235,1.2429967969508955,70.44956659959773,74.4,29.74033649106681,341.19481732679833
1745387969.9418607,3.073442971262851,70.68323901647986,74.39999999999999,30.407698507044753,341.27256771863273
1745387973.300922,1.3875576959661478,70.50430620283683,74.4,30.379208388981308,341.2067069574135
1745387977.313751,0.692002199742785,70.8870461312432,74.40000000000005,30.00895954364007,341.2483454865617
1745387980.5763855,4.661576927901193,70.84896276994131,74.40000000000005,30.509352556404,341.3252033683364
1745387981.623565,2.3285855809326605,70.70547426798021,74.40000000000002,30.425961037947616,341.1691368672694
1745387983.4680445,2.733142002009216,70.82092307691943,74.40000000000002,30.085021512329,341.22789685646273
1745387988.3196447,0.6748374573824272,70.62321573854967,74.40000000000002,30.04847061787112,341.27456135538
1745387992.1384232,1.8891300922949823,70.73008292217196,74.4,30.540682003461495,341.1456937885573
1745387995.8924427,2.7929961017232756,70.83872500562904,74.40000000000003,30.260318114783683,341.2195937851388
1745387999.5334525,1.0524286052575251,70.65077841587832,74.40000000000005,30.523658462746187,341.33229547680656
1745388001.0446844,3.158202219966154,70.5744104982617,74.4,29.411018215771293,341.18511664164623
1745388002.0610156,1.8115359482489732,70.35333311880895,74.40000000000002,30.217049717081366,341.278815459794
1745388004.8236248,2.2376653021521875,70.60065325818934,74.40000000000002,29.673996178473068,341.19836152361864
1745388007.6009226,1.810062957482248,70.73892728312585,74.40000000000002,30.17678033651577,341.3274570319821
1745388011.8481443,5.194856880624444,70.75756759762258,74.40000000000003,30.416441726927953,341.09829454487914
1745388013.5744145,2.6213832081058674,70.69026242875904,74.4,30.748684433855427,341.21207068105576
1745388015.674859,1.181093844782787,70.53077081550529,74.40000000000002,29.881135046872846,341.1093775304601
1745388016.9878285,3.7745404517986003,70.31181543399076,74.40000000000003,30.014788417735815,341.16112803966485
1745388019.5873284,0.9560840388982752,70.5377998514963,74.40000000000002,30.154180494976462,341.1607327843105
1745388021.6112876,2.9280866369169734,70.56691264082502,74.40000000000003,29.86935160515021,341.1899921088277
1745388023.662871,-0.06298313807314715,70.5656033377117,74.40000000000002,30.502227413613767,341.1287055877739
1745388025.6790833,0.8080261128394373,70.70767963970242,74.40000000000003,30.162423492938355,341.20297778164723
1745388027.6051574,2.9115317208801446,70.91620183174919,74.39999999999999,30.224655515101116,341.2383797326032
1745388029.8843293,3.6585707734352315,70.63217482415457,74.40000000000002,30.386096506141506,341.1058487879001
1745388033.03109,2.8763691566313256,70.58027596750236,74.40000000000002,30.161899532752155,341.1655146071437
1745388035.7819312,2.4804857259222506,70.5737951080587,74.39999999999998,29.92022298321249,341.37677474819696
1745388037.035719,2.2246861152437063,70.63230532059679,74.4,30.164715837838603,341.2296504529184
1745388039.7391584,0.6006669711730108,70.48699649111049,74.4,29.907701428648934,341.08683505222047
1745388044.1242714,1.6471151600360474,70.63166681244262,74.40000000000003,30.220126715348584,341.1145918970875
1745388045.527088,2.0046385606053003,70.68209421230371,74.4,30.508182582913996,341.2227768257869
1745388050.3045344,4.098094154487082,70.64531603850182,74.4,29.8043990817071,341.2144460735255
1745388052.5388958,3.113954484134427,70.68312065504678,74.40000000000003,29.688590233367105,341.16867358584955
1745388053.5970383,0.2082295945520629,70.6794913872872,74.39999999999999,30.20109564986481,341.3536475213449
1745388055.6096606,3.087010695279491,70.34307193297464,74.39999999999999,29.936340479143816,341.3819457348055
1745388056.8882992,2.108854018820611,70.71047298181236,74.40000000000002,30.19542347290715,341.1901632593652
1745388060.1538246,1.7063179836638653,70.5109857113375,74.4,30.288959737633032,341.2658182842983
1745388062.419125,3.48368826903515,70.44618869689444,74.4,29.490500818973707,341.2691581699063
1745388066.6466315,4.062062974124817,70.44487503629178,74.40000000000003,30.408674281107192,341.2779857386119
1745388070.5771317,3.9245194852540743,70.67945996697625,74.40000000000003,29.806119655658282,341.1651718446129
1745388073.4515176,1.4824629294468614,70.57938473344076,74.40000000000003,30.17789520798508,341.33676056137557
1745388076.6939242,2.2135017706170608,70.35678833075272,74.40000000000003,29.97147180713679,341.2031868091827
1745388080.1290026,3.0969133643632647,70.68624682239435,74.40000000000003,30.006281702101944,341.23582044260377
1745388082.2118213,3.98557443975348,70.39375478042122,74.39999999999999,30.734043678397207,341.20788577637614
1745388083.7693267,1.9790724952572019,70.63465981163863,74.40000000000002,30.288591630431057,341.1984580234291
1745388086.275402,2.383919613184346,70.64971076678204,74.4,30.478290290804935,341.22626910096716
1745388087.6548321,1.114026447941936,70.74840740656936,74.4,30.234047542097816,341.12886561826195
1745388089.9142857,0.9900660161414905,70.885087680081,74.40000000000003,30.38604480517867,341.0766302125206
1745388093.1246943,3.7607210695402085,70.40518387486341,74.39999999999999,30.320383279378095,341.1935559332202
1745388096.2851446,4.5106688864292135,70.6053296737724,74.39999999999999,30.26759027636334,341.1491844527727
1745388097.767598,2.540676066838798,70.57118484659847,74.40000000000003,30.543897473377424,341.2441693805753
1745388098.8009543,4.024178116740139,70.67949170402585,74.40000000000002,30.235850522279,341.2366052419464
1745388100.1567285,3.1388064398758586,70.64622856059468,74.40000000000002,30.925611957643348,341.20864652447017
1745388101.3013287,1.7501829856530922,70.55956064883775,74.4,30.496385604511897,341.30630309545586
1745388103.9032044,3.1384748279618653,70.54608401563377,74.40000000000003,29.81588221190385,341.2073355830367
1745388106.4622052,4.761421791473145,70.44304486528837,74.40000000000003,30.12792796579956,341.11075473529195
1745388108.4286666,2.5905849589488925,70.76400851507316,74.40000000000002,30.313805059165645,341.1928731951724
1745388110.2904444,4.798121087433511,70.68337419204315,74.4,30.199555464385455,341.28564174752336
1745388112.8761241,-0.9734279724512875,70.75331740849187,74.40000000000002,30.407709940957613,341.0824106258045
1745388114.2224183,3.7736543754966254,70.56598966180307,74.40000000000003,30.443400560158153,341.20149461714334
1745388116.079655,2.760064471463522,70.51314844368753,74.40000000000003,29.744578834560663,341.2460291496361
1745388118.7024224,2.2275776149155853,70.44886158796857,74.40000000000002,30.600254706745318,341.38417502877934
1745388120.081742,2.7665661136992346,70.66807781689549,74.40000000000002,30.024149015951323,341.28812224191387
1745388124.4449968,-0.10146408441860322,70.45473719408879,74.40000000000002,29.99204104134173,341.21657138667007
1745388128.1490707,2.337005428873948,70.8953036506866,74.40000000000002,29.990998323458687,341.2423903595666
1745388130.6815479,3.132567217016679,70.41388303881226,74.4,30.44714634356046,341.0815165612919
1745388132.2831411,4.678466900177181,70.65507378455811,74.39999999999998,30.09859669011803,341.13792310543437
1745388134.0598903,1.9251472072321592,70.85232037562142,74.40000000000003,29.97012079227384,341.25105093012553
1745388135.5402486,1.5248405916738044,70.70471046547733,74.40000000000005,30.047757882416466,341.2184705788146
1745388137.180584,1.9479239144936622,70.64012824977507,74.4,29.60358835040088,341.22695669232763
1745388139.8706405,3.902618875776133,70.46561380246284,74.4,29.912243663442396,341.2100191249576
1745388141.8532991,3.093448105987189,70.40257675840631,74.40000000000002,29.783464518280926,341.2074112008811
1745388146.391613,1.9092990108102765,70.73078646864737,74.40000000000002,30.09791568120088,341.21459671369007
1745388151.235328,3.347952425319825,70.84306087135326,74.40000000000003,30.400360709052286,341.1375031694843
